"","subject","workerid","round","permutation","fillerDimension","leftLabel","ip","learn.success","num.learn.trials"
"1",1,"A11VI1W1901MIG","05","3012","meaningful","B","24.19.102.77",1,27
"2",2,"AND6DQZ62U6VV","05","0321","meaningful","A",NA,1,63
"3",3,"A3K7UC7LUKV0ZV","05","3210","meaningful","B","98.249.112.24",1,36
"4",4,"A150MDVC0C92OT","05","3210","meaningful","B",NA,1,27
"5",5,"ATA8OGSYN5YPS","05","2031","meaningful","A",NA,1,27
"6",6,"ASF5V3K4IFP4K","05","2031","meaningful","B","209.6.205.173",0,144
"7",7,"AIUKV0KVALMY6","05","2310","meaningful","A","75.68.119.60",1,126
"8",8,"A2OXN3AJOY7BB2","05","1023","meaningful","B","69.58.248.1",0,144
"9",9,"A2Q009DS6B04P5","05","2130","meaningful","B","216.252.198.52",0,144
"10",10,"AZ1UHQFEEL3WE","05","1023","meaningful","A","72.189.252.44",0,144
"11",11,"A3PTO0DMF57GDG","05","3210","meaningful","B","69.22.127.156",0,144
"12",12,"A350C6KKI33T7R","05","1320","meaningful","A","199.71.179.17",0,144
"13",13,"A2HUGH6HQFYP5P","05","3021","meaningful","A","98.115.49.143",0,144
"14",14,"A1M2D1QG0F187S","05","1032","meaningful","A","184.9.108.34",1,63
"15",15,"A27BKFN6UB1LDP","05","3012","meaningful","A","74.78.125.11",1,18
"16",16,"A175W1JIMQ3GG0","05","2301","meaningful","A","67.141.59.97",1,117
"17",17,"A3A1MHN6Q2JHDA","05","2130","meaningful","B","66.229.4.152",1,63
"18",18,"A3A3ASHGF0X59H","05","0132","meaningful","A","162.136.192.1",1,45
"19",19,"A1YK1P623MZGNF","05","1032","meaningful","A","71.51.62.61",1,18
"20",20,"A2C1DSYB5312ZG","05","2130","meaningful","B","108.49.66.106",1,18
"21",21,"A1BKU1G2DW3IQO","05","1032","meaningful","B","134.84.113.93",1,54
"22",22,"A34ORELWUVT2LY","05","0321","meaningful","B","89.15.238.68",1,90
"23",23,"A20NDRGSZZRQF","05","1203","meaningful","A","108.243.20.191",0,144
"24",24,"A2SUKWCHK7D4TZ","05","3012","meaningful","B","78.105.219.121",1,63
"25",25,"A40W0EWYGHNV0","05","0231","meaningful","B","160.36.72.59",1,36
"26",26,"AEHRN10Y6FQQV","05","0213","meaningful","B","107.193.228.77",0,144
"27",27,"A2KQ0DQKR7C373","05","1320","meaningful","A","68.49.59.200",1,36
"28",28,"A2BOUSPEKZYWDO","05","0132","meaningful","B","74.199.31.253",1,54
"29",29,"A42Q514NR8DPA","05","0321","meaningful","A","74.77.130.220",0,144
"30",30,"AU53RCKB3LTC7","05","3201","meaningful","A","72.243.196.178",0,144
"31",31,"ACP5OSFS4WW3Y","05","0231","meaningful","B","67.172.9.150",1,18
"32",32,"A1KHF6KTBO6X1P","05","0132","meaningful","A","46.16.37.251",0,144
"33",33,"A2BA9Y6VGW6WS1","05","2310","meaningful","A","174.26.1.255",1,63
"34",34,"A3LMBD00DY11MJ","05","1302","meaningful","B","24.127.43.143",1,18
"35",35,"A2KVCP6L4B7K6","05","2031","meaningful","A","69.66.165.45",1,81
"36",36,"A6FMGGN74ZJ7C","05","0213","meaningful","B","50.156.191.51",0,144
"37",37,"A1UNOHJRHQEH99","05","1032","meaningful","A","149.152.191.3",1,72
"38",38,"A8MKJLZMUKRTN","05","2013","meaningful","A","50.73.187.97",1,72
"39",39,"APUNS430KPW1I","05","1320","meaningful","A","98.164.29.15",1,27
"40",40,"A3LI11B9RGB73X","05","0123","meaningful","A","76.121.196.105",1,63
"41",41,"A2HR7ZIX42FEPG","05","2130","meaningful","B","173.175.67.40",1,36
"42",42,"A3RFYVT9LNL94K","05","1032","meaningful","A","98.237.233.5",1,135
"43",43,"A2Y5DDEPG81LLJ","05","1302","meaningful","A","174.54.232.47",1,27
"44",44,"A1PPGTZ7U838XJ","05","0132","meaningful","B","72.241.230.199",1,54
"45",45,"A1VJ4ZOXP9PUCP","05","0231","meaningful","A","138.229.49.47",1,90
"46",46,"A366OA4AUN7EYB","05","3120","meaningful","B","173.166.140.241",0,144
"47",47,"AI4LKMF5QD07D","05","2130","meaningful","A","75.129.245.180",0,144
"48",48,"AL12RG9EJZ60","05","3120","meaningful","A","68.1.157.246",1,72
"49",49,"A3JI3B5GTVA95F","05","1203","meaningful","B","66.176.53.233",1,18
"50",50,"AMNWH1GJBI8PG","05","2103","meaningful","A","70.196.141.14",1,27
"51",51,"A1B4WL7N3ACF2T","05","0123","meaningful","B","73.169.233.189",0,144
"52",52,"AP50YECV6AXCO","05","1203","meaningful","B","140.177.205.223",1,135
"53",53,"A2Z64DTPQY8DNV","05","2103","meaningful","A","24.250.223.53",1,126
"54",54,"A22WMYUM6H4M10","05","0213","meaningful","A","98.246.134.53",0,144
"55",55,"A3HZ31VAGTVQMQ","05","3021","meaningful","B","98.212.236.28",1,18
"56",56,"A3CIN7QGB3XJI9","05","3021","meaningful","A","216.36.172.161",1,54
"57",57,"AZMQ4ZI24N84U","05","3120","meaningful","A","71.94.58.231",1,36
"58",58,"A28N4YR1LYTKOC","05","1032","meaningful","A","205.175.97.19",1,90
"59",59,"A1M1TSMJB12177","05","3201","meaningful","A","67.132.69.188",1,36
"60",60,"A1ULXWL1MGREU9","05","0213","meaningful","A","208.95.181.197",1,63
